zmed	Mstar	Mstar_sd	log10(phi1)	log10(phi1)_sd	log10(phi2)	log10(phi2_sd)	alpha1	alpha1_sd	alpha2	alpha2_sd	log10(SMD)	log10(SMD)_sd
0.063825043	10.44821459	0.218346934	-2.603857573	0.1505719	-3.617978262	0.188928092	-0.486376269	0.096157122	-1.849746432	0.045022491	8.5196	0.021
0.117639039	10.76183031	0.075015296	-2.441803858	0.088276998	-3.072472261	0.067341648	-0.520999268	0.094682148	-1.593699154	0.022951587	8.4876	0.022
0.175137307	10.81024474	0.07827085	-2.832091659	0.082423107	-3.597118006	0.071669196	-0.44888542	0.09197404	-1.717594822	0.02118549	8.4578	0.023
0.246489606	10.80633853	0.045233623	-2.577587842	0.052483649	-3.15869365	0.049540558	-0.447334842	0.087419826	-1.543356968	0.018031745	8.4262	0.024
0.324923848	10.79849274	0.037642926	-2.531731559	0.048535875	-2.927703945	0.03997805	-0.391010442	0.088280032	-1.45408641	0.015882336	8.3971	0.025
0.409939511	10.79936911	0.035100818	-2.634331707	0.045171824	-3.002621629	0.037832966	-0.361700047	0.087795687	-1.477314337	0.015722051	8.3701	0.026
0.510920419	10.77165389	0.030104962	-2.709872182	0.033221366	-3.232854112	0.044983392	-0.341215025	0.083255696	-1.539855415	0.02033747	8.3419	0.027
0.625752906	10.76916187	0.025001583	-2.643968759	0.024284239	-3.255818845	0.046195537	-0.284490693	0.076290094	-1.562104329	0.022630403	8.311	0.028
0.756477233	10.72893736	0.020957106	-2.599388041	0.018325963	-3.167800623	0.041854737	-0.125088082	0.075145056	-1.533581918	0.023277703	8.2725	0.028
0.918815426	10.79638136	0.017220509	-2.489996863	0.016417716	-3.057778153	0.052164136	-0.200044338	0.071144728	-1.420570914	0.030950636	8.2144	0.029
1.109016796	10.80758232	0.020394261	-2.808442586	0.021206414	-3.348442343	0.05635027	-0.221239499	0.08000328	-1.52636619	0.037020141	8.1284	0.029
1.33668903	10.8207713	0.02016957	-2.877631458	0.030404766	-3.346979544	0.078444363	-0.360040741	0.08701733	-1.433166021	0.054269707	8.0039	0.028
1.613940683	10.83085062	0.019289785	-3.022773405	0.083008099	-3.411708364	0.196724425	-0.649941337	0.112987888	-1.298814496	0.104305765	7.8402	0.027
2.000307244	10.80645854	0.017205589	-3.111856049	0.073212713	-3.818670335	0.375014284	-0.802777152	0.104771116	-1.354537752	0.130395029	7.6388	0.026
2.416552247	10.80549304	0.039598343	-3.904610878	0.35461014	-3.446815269	0.075841863	-0.540783035	0.106184463	-1.269708615	0.0720487	7.494	0.024
2.960674248	10.75578912	0.034460988	-4.56947685	0.31172573	-3.575715605	0.043917903	-0.497937418	0.101528932	-1.506519205	0.057509132	7.3953	0.023
3.517766802	10.5822351	0.041224173	-4.676982868	0.374541391	-3.626562976	0.054175681	-0.500360816	0.100505905	-1.534974991	0.08700748	7.3452	0.024
4.015564359	10.78505346	0.0638563	-4.947613501	0.363112456	-4.267374319	0.069907901	-0.498479336	0.100223502	-1.521270951	0.091171076	7.3182	0.024
