mstar,z5_withAGN,z5_withAGN_q16,z5_withAGN_q84,z7_withAGN,z7_withAGN_q16,z7_withAGN_q84,z10_withAGN,z10_withAGN_q16,z10_withAGN_q84,z5_withoutAGN,z5_withoutAGN_q16,z5_withoutAGN_q84,z7_withoutAGN,z7_withoutAGN_q16,z7_withoutAGN_q84,z10_withoutAGN,z10_withoutAGN_q16,z10_withoutAGN_q84
5,-3.42365174759334,-4.28484127772533,-2.58570701358674,-4.13119318184029,-5.30892267888268,-2.98945286443554,-3.52185370099111,-5.82916253188559,-1.35268511263575,-3.6493908376487,-4.4797420401755,-2.82107739792273,-3.18826602176433,-4.0325913565895,-2.34178664525402,-2.77003704798688,-5.66680423482962,0.11685944312206
5.01,-3.41371226825975,-4.27293863119194,-2.57771556401218,-4.11917528628085,-5.29393648512146,-2.98012725107948,-3.51092828156237,-5.81293971665658,-1.34756559447223,-3.63853604927117,-4.46730542816756,-2.81265084254586,-3.1786446091666,-4.02101338551127,-2.33429703842583,-2.76054580599864,-5.65015227999106,0.117967545607213
5.02,-3.40377278892616,-4.26103598465855,-2.56972411443763,-4.10724158574071,-5.27895029136025,-2.97101235714072,-3.50013059787588,-5.79671690142758,-1.34178317211826,-3.62788189080053,-4.45486881615962,-2.80374206150649,-3.16917281667454,-4.00943541443304,-2.32680743159763,-2.75114295848098,-5.63426642688235,0.119587896258074
5.03,-3.39392460078706,-4.24913333812516,-2.56173266486307,-4.09532416360209,-5.26396409759903,-2.96212836879284,-3.48974292000798,-5.78049408619857,-1.33601065488541,-3.61769805270161,-4.44243220415167,-2.79483328046711,-3.15962621412964,-3.99785744335481,-2.31938842541635,-2.74302253620089,-5.61838057377364,0.122134267845961
5.04,-3.38414971828921,-4.23715800804586,-2.55374121528851,-4.08379522284284,-5.24897790383782,-2.95324438044496,-3.47857197709563,-5.76427127096957,-1.33029466899078,-3.60706058511095,-4.42999559214373,-2.78630099502848,-3.15007961158475,-3.98627947227658,-2.31214410564223,-2.73439956975148,-5.60249472066492,0.123496883256299
5.05,-3.37440860927732,-4.22499982904927,-2.5458746566162,-4.07198623381042,-5.23399171007661,-2.94393994504628,-3.46754594320304,-5.74804845574057,-1.3251140279196,-3.59601295948837,-4.41725755302949,-2.7777885902599,-3.14055664862207,-3.97470150119834,-2.30489978586812,-2.72534779933655,-5.58660886755621,0.124527610997443
5.06,-3.36465511561101,-4.21286536028349,-2.53803511051333,-4.06026575952037,-5.21900551631539,-2.93455825371569,-3.45666055981516,-5.73182564051156,-1.31993338684842,-3.58496533386579,-4.40431655097886,-2.76951755299233,-3.13110794078007,-3.96312353012011,-2.297655466094,-2.71629602892162,-5.5707230144475,0.126885027399184
5.07,-3.35482507079567,-4.20088308220222,-2.53019556441045,-4.04872587492294,-5.20401932255418,-2.92522574251408,-3.44600647874708,-5.71560282528256,-1.31364883694882,-3.57391770824321,-4.39137554892824,-2.76151104808802,-3.12165923293808,-3.95131927871363,-2.29031182337677,-2.70724425850668,-5.55483716133878,0.129242443800924
5.08,-3.34505018829782,-4.18887930214307,-2.52235601830758,-4.03718599032551,-5.18903312879296,-2.91607549108651,-3.43535239767901,-5.69938001005355,-1.3076386651838,-3.56308015690707,-4.37843454687761,-2.75350454318371,-3.11221052509608,-3.93948131838336,-2.28275533999077,-2.69819248809175,-5.53895130823007,0.131599860202665
5.09,-3.33527530579997,-4.17643874054122,-2.51451647220471,-4.02504936638057,-5.173816580095,-2.90692523965894,-3.42469831661093,-5.68315719482455,-1.30210194383518,-3.55259393912714,-4.36549354482699,-2.7454980382794,-3.10276181725409,-3.92764335805309,-2.27551298729718,-2.68914071767682,-5.52306545512136,0.133957276604405
5.1,-3.32550042330212,-4.16420893406632,-2.50667692610184,-4.01281602213559,-5.15841870313036,-2.89777498823138,-3.41404423554286,-5.66693437959554,-1.29535319289968,-3.54210772134722,-4.35255254277637,-2.73700050332974,-3.0933131094121,-3.91593674925472,-2.26827063460358,-2.68025756635622,-5.50717960201265,0.136314693006146
5.11,-3.31572554080427,-4.15207848516094,-2.49883737999896,-4.00058267789061,-5.14310483488188,-2.88859451796004,-3.40339015447478,-5.65170446910062,-1.28852738676945,-3.53162150356729,-4.33961154072574,-2.72841199736202,-3.08368644241239,-3.90443014417375,-2.26102828190999,-2.67141601998863,-5.49129374890393,0.138672109407886
5.12,-3.30595065830643,-4.14028168980205,-2.49099783389609,-3.9885486695257,-5.12840771826073,-2.87935725896995,-3.39273607340671,-5.63475482580775,-1.28260625978095,-3.52106461859949,-4.32708678531822,-2.71982349139431,-3.07391186460731,-3.89292353909279,-2.25378592921639,-2.66257447362104,-5.47540789579522,0.141029525809627
5.13,-3.29617577580858,-4.12848489444317,-2.48319818405953,-3.97670719675882,-5.11371060163957,-2.8700569829919,-3.38298893817501,-5.61826593390853,-1.27694287796131,-3.51023038624826,-4.31460982026564,-2.7112349854266,-3.06445111955746,-3.88134151383725,-2.2466480960286,-2.65367923354249,-5.45952204268651,0.143386942211368
5.14,-3.28640089331073,-4.11668809908428,-2.47531874169034,-3.96486572399194,-5.09901348501842,-2.86078821550784,-3.37261772438394,-5.60204311867953,-1.27127949614167,-3.49970047864727,-4.30213285521306,-2.70264372488578,-3.05499555918786,-3.86962677550033,-2.23958452092986,-2.64411750706612,-5.44352839986888,0.145744358613108
5.15,-3.27638652820665,-4.10489130372539,-2.46776548862835,-3.95302403893478,-5.08412977246446,-2.85151944802377,-3.36180311063578,-5.58582030345052,-1.26561611432203,-3.48920595259708,-4.28965589016048,-2.69397435713648,-3.04553740647813,-3.8579120371634,-2.23245658812697,-2.63604983451826,-5.42746262236011,0.148101775014849
5.16,-3.26631662713256,-4.09285731979511,-2.46029403909138,-3.94117371955376,-5.06943336623963,-2.8422506805397,-3.35098849688761,-5.56959748822152,-1.25866434112787,-3.47871142654689,-4.2771789251079,-2.68529297442619,-3.0360792537684,-3.84645078757732,-2.22504142198461,-2.62720828815067,-5.41139684485134,0.150459191416589
5.17,-3.25624672605847,-4.08065930655905,-2.45282258955442,-3.9293413056913,-5.05415738494203,-2.83298191305563,-3.34006375448684,-5.55327832206231,-1.25199508287497,-3.4682169004967,-4.26470196005532,-2.6766175991964,-3.02662110105868,-3.83500480878584,-2.21757416574841,-2.61836674178308,-5.39533106734258,0.152698020233918
5.18,-3.24637298453343,-4.06846129332299,-2.44474566682085,-3.91749983292442,-5.03917119118082,-2.82371314557157,-3.32935926939128,-5.53685689769501,-1.24689439446178,-3.45756608733871,-4.25222499500274,-2.66794222396661,-3.01692515661657,-3.82355882999437,-2.21033181305482,-2.60952519541549,-5.37926528983381,0.153532423497701
5.19,-3.23630432714195,-4.05626328008694,-2.43663795693993,-3.90565836015754,-5.0241849974196,-2.81414269945123,-3.31854465564312,-5.52043547332771,-1.24197387008542,-3.44722784839632,-4.23974802995016,-2.65926684873682,-3.00747100000485,-3.81211285120289,-2.20308946036122,-2.6006836490479,-5.36319951232504,0.154699690702925
5.2,-3.22623566975048,-4.0441787228943,-2.42861020928211,-3.89411627756045,-5.00919880365839,-2.80467613031032,-3.30822106723537,-5.50401404896041,-1.23729920522383,-3.43673332234613,-4.22727106489758,-2.65059147350702,-2.99819109269042,-3.80066687241142,-2.19584710766762,-2.59184210268031,-5.34713373481627,0.15753151646685
5.21,-3.216167012359,-4.03211304937821,-2.42099976749743,-3.8822173145643,-4.99421260989717,-2.79563613551027,-3.29825289800621,-5.48609907243886,-1.23163582340419,-3.42623879629594,-4.214794099845,-2.64213133684247,-2.98857728874083,-3.78901196824938,-2.18860475497403,-2.58300055631272,-5.3310679573075,0.160198778183567
5.22,-3.20609835496752,-4.02024939205247,-2.41292939672893,-3.87026821441002,-4.97932265076497,-2.78627018438692,-3.28852443191017,-5.46780702213864,-1.22623872881055,-3.41574427024575,-4.20231713479242,-2.63374557316637,-2.97896348479124,-3.77721734049093,-2.18136240228043,-2.57415900994513,-5.31500217979873,0.161553889764652
5.23,-3.19599365254728,-4.00838573472672,-2.40513786911434,-3.85831911425574,-4.96461012635811,-2.77683448581869,-3.27784270715297,-5.44951497183841,-1.22046125901713,-3.40524974419555,-4.18984016973984,-2.6253499257495,-2.96934968084165,-3.76542271273247,-2.1739965719053,-2.56531746357754,-5.29893640228996,0.162909001345736
5.24,-3.18605174779403,-3.99652207740098,-2.39734634149976,-3.84645099632315,-4.95002419985236,-2.76739878725046,-3.26701137478487,-5.43122292153818,-1.21519515888207,-3.39475521814536,-4.17716855964449,-2.61676141978179,-2.95977157180031,-3.75362808497402,-2.16648726415449,-2.55729990262375,-5.28287062478119,0.164264112926821
5.25,-3.17638674330393,-3.98465842007524,-2.38955481388517,-3.83460952355627,-4.93543958784663,-2.7582248501757,-3.25556389464905,-5.4140929844644,-1.20922614302807,-3.38426069209517,-4.16437599250054,-2.60817291381407,-2.95012207294247,-3.74215845699431,-2.15897795640368,-2.54843127498646,-5.26680484727242,0.165619224507905
5.26,-3.16636767113119,-3.97259370608729,-2.38176328627058,-3.82295850840573,-4.92047255313754,-2.74956300569903,-3.24492014442165,-5.39781766723749,-1.20397906578045,-3.37357081842891,-4.15158342535659,-2.59970725847064,-2.94061238111586,-3.73089691700065,-2.15146864865288,-2.53936490255658,-5.25073906976366,0.167176623887897
5.27,-3.15628578088379,-3.96003937391006,-2.373971758656,-3.81116489946834,-4.90576002873068,-2.74029423821496,-3.23373500768039,-5.38014500887312,-1.19873198853283,-3.36316529857378,-4.13879085821264,-2.59168690838107,-2.9311685587093,-3.71968189626041,-2.14395934090207,-2.53116891382758,-5.23467329225489,0.169504178268108
5.28,-3.14620389063639,-3.94747298667336,-2.36618023104141,-3.79910252756976,-4.89104750432382,-2.73102547073089,-3.22227077631751,-5.36427406106723,-1.19348491128521,-3.3527771139446,-4.12599829106869,-2.58343099110975,-2.92172473630273,-3.70808026587115,-2.13654952050757,-2.52269967303117,-5.21860751474612,0.171831732648319
