wave,flux
96.79,1.15903649249932e-21
108.59838,1.29315702192333e-21
121.85861,1.44234938329534e-21
136.76427,1.60846711317233e-21
153.41215,1.79420163400832e-21
172.09262,2.00847938351987e-21
193.09605,2.22966595000939e-21
216.71281,2.48129140146817e-21
243.13648,2.77350008677973e-21
272.75422,3.0643689001803e-21
306.04998,3.39163063472211e-21
343.41092,3.75650396178506e-21
385.32099,4.16521200810963e-21
432.36093,4.91465076690515e-21
485.11148,5.42361870109356e-21
544.25017,5.98521729934791e-21
576.57803,6.29057259346816e-21
646.84757,6.95729416972583e-21
725.82821,7.71763741591603e-21
814.39106,8.54360289132736e-21
913.79439,9.48145570251308e-21
1025.0061,1.05746218536885e-20
1150.8331,1.17300345212105e-20
1291.1786,1.30360296148635e-20
1447.9784,1.44481021413355e-20
1625.1041,1.60418776490307e-20
1823.5236,1.78277742964424e-20
2045.1727,1.97841482847865e-20
2294.8909,2.19542939325675e-20
2575.5819,2.43436242749443e-20
2889.1815,2.69832562726293e-20
3242.465,2.99151327394686e-20
3637.3682,3.34517740231743e-20
4081.6343,3.70926126837122e-20
4580.1028,4.04304201077608e-20
5138.5811,4.06808843748845e-20
6468.4757,3.39219675522858e-20
7258.2821,3.03571054258347e-20
8143.91060000001,3.03342001378566e-20
9137.9439,3.01137580932733e-20
10250.061,2.91789528826583e-20
11508.331,2.6317539876634e-20
12911.786,2.33072835636815e-20
14479.784,2.02848334888843e-20
15341.215,1.87113668748038e-20
17209.262,1.55779520207292e-20
19309.605,1.23373695585351e-20
21671.281,9.99757678821389e-21
22948.909,9.5799244209502e-21
24313.648,9.18797755016387e-21
25755.819,8.68576326224283e-21
27275.422,8.14458264754402e-21
28891.815,7.59907166788522e-21
30604.998,7.07710146384662e-21
32424.65,6.58110747165741e-21
34341.092,6.1135250904022e-21
34844.4,6.00008653706625e-21
36373.682,5.67733101588435e-21
38532.099,5.26535449859698e-21
40816.343,4.88733702829749e-21
43236.093,4.53475496519078e-21
43555.5,4.4913748529806e-21
45801.028,4.20598479700264e-21
48511.148,3.90021479267514e-21
51385.811,3.61636263088955e-21
54425.017,3.35077532203712e-21
56138.2,3.21482614953082e-21
57657.803,3.10209993683715e-21
61074.49,2.87209536745449e-21
64684.757,2.65927337500307e-21
68517.641,2.46133393470102e-21
72582.821,2.27732998677968e-21
72592.5,2.27692062377048e-21
