lambda,flux,flux_err,sed_withAGN,sed_withoutAGN
4328.68275286785,,,0,0
4765.49002100162,,,0,0
5959.32398420669,2.55704997810271e-20,1.45957957369566e-20,4.44154595043373e-21,3.88679371682757e-21
7704.69666786516,,,4.31353128711543e-20,4.02006814732095e-20
8084.25465639375,1.18975356387141e-21,8.07640611350401e-21,4.34686059771528e-20,4.07968163644456e-20
9044.42159537933,,,4.22917643024436e-20,4.04634269214158e-20
10577.2270056142,,,3.03591946229108e-20,2.9543092558229e-20
11570.5933615529,2.82204066549147e-20,6.81259238916354e-21,2.44275041585378e-20,2.48413658038996e-20
12500.8526011615,5.10399599518697e-20,8.20280345941455e-21,2.00630998218348e-20,2.15718632368694e-20
13971.0498427729,4.42938834185971e-20,1.06518127727095e-20,1.55757976716574e-20,1.71566623775146e-20
15040.0794515907,7.80612456395969e-20,9.05825642301207e-21,1.36062441048309e-20,1.47979558453508e-20
15418.9900899856,3.97976518586416e-20,5.81944222843131e-21,1.30818595023228e-20,1.40109925274657e-20
19933.8788916172,2.23661824407563e-20,2.72406839091047e-21,9.50878201623547e-21,9.42524692246195e-21
27694.9029165793,1.29893383631262e-20,1.39306056398409e-21,9.39147671164661e-21,1.12587400015636e-20
35768.1260266841,1.00193037803812e-20,1.04730434404947e-21,6.66402349348972e-21,7.15337120615278e-21
40843.7984231455,6.73671470297325e-21,7.54194096335275e-22,6.07906895615214e-21,5.90473055614825e-21
44158.7807927052,1.45754351332142e-20,1.47551904220566e-21,5.43241652862784e-21,4.96900882552414e-21
