wave,flux
96.79,0
108.59838,0
121.85861,0
136.76427,0
153.41215,0
172.09262,0
193.09605,0
216.71281,0
243.13648,0
272.75422,0
306.04998,0
343.41092,0
385.32099,0
432.36093,0
485.11148,0
544.25017,0
576.57803,0
646.84757,0
725.82821,0
814.39106,0
880.789,0
913.79439,0
987.258,0
1025.0061,0
1103.406,0
1150.8331,0
1238.912,0
1291.1786,0
1355.06,0
1447.9784,0
1538.961,0
1625.1041,0
1713.183,0
1823.5236,0
1877.726,0
2045.1727,0
2090.664,0
2264.886,0
2294.8909,0
2516.54,0
2575.5819,0
2748.836,0
2889.1815,0
3077.922,0
3242.465,0
3542.514,0
3637.3682,0
4007.106,0
4081.6343,0
4452.34,0
4580.1028,0
4897.574,0
5138.5811,0
5323.45,0
5807.4,0
6291.35,0
6468.4757,0
6726.905,0
7210.855,0
7258.2821,0
7694.80500000001,0
8143.91060000001,0
8178.755,0
8662.705,0
9137.9439,1.46475793023639e-24
9146.655,1.55768550305359e-24
9630.605,2.01650869022479e-24
10114.555,2.02100897388417e-24
10250.061,1.99685157809286e-24
10598.505,1.92363649035937e-24
11082.455,1.75056917788744e-24
11508.331,1.5849448918714e-24
11566.405,1.56385898757905e-24
11756.6577502603,1.53909551672859e-24
11757.6389682343,1.54875521298228e-24
11758.6201862082,1.62818020987991e-24
11759.6014041822,2.12684074470701e-24
11760.5826221562,4.5296115048303e-24
11761.5638401302,1.33719129008681e-23
11762.5450581041,3.79923869065367e-23
11763.5262760781,8.89940358011243e-23
11764.5074940521,1.64938605948564e-22
11765.488712026,2.39300281530832e-22
11766.46993,2.70975551447291e-22
11767.451147974,1.00010611249656e-17
11768.4323659479,6.89414312520394e-18
11769.4135839219,3.72024300187958e-18
11770.3948018959,1.58836247551265e-18
11771.3760198699,5.59049915632924e-19
11772.3572378438,1.89316420160634e-19
11773.3384558178,8.88245850792928e-20
11774.3196737918,6.79577408754054e-20
11775.3008917657,6.46248660783402e-20
11776.2821097397,6.42102506893866e-20
12050.355,6.27703015048525e-20
12534.305,5.91119583085978e-20
12911.786,5.68716128638397e-20
13018.255,5.62374418734788e-20
13502.205,5.15849450625877e-20
13957.118,4.95281738561983e-20
14373.315,4.67975745437989e-20
14479.784,4.60957457655135e-20
14760.475,4.4254619717313e-20
15244.425,4.14546903385408e-20
15341.215,4.09154898686407e-20
15728.375,3.87763527656137e-20
16183.288,3.65296098133623e-20
16599.485,3.47541701876312e-20
17083.435,3.27063181835808e-20
17209.262,3.22773016555248e-20
17567.385,3.09703759334638e-20
18051.335,2.89196002879191e-20
18535.285,2.71438566249315e-20
19038.593,2.57292432631585e-20
19309.605,2.49151699842461e-20
19503.185,2.43808676883463e-20
19987.135,2.26653171190516e-20
20374.295,2.22133617689429e-20
20858.245,2.11650238492302e-20
21342.195,2.01110761562025e-20
21671.281,1.94015103993696e-20
21826.145,1.91563614080703e-20
22310.095,1.8507428745658e-20
22486.4563035982,1.82759522393219e-20
22488.3330372384,1.82736014858124e-20
22490.2097708786,1.82718369544389e-20
22492.0865045188,1.82735919102214e-20
22493.9632381589,1.82913292220065e-20
22495.8399717991,1.83631143570328e-20
22497.7167054393,1.85673225094854e-20
22499.5934390795,1.89929329095457e-20
22501.4701727196,1.96278590811481e-20
22503.3469063598,2.02494712799895e-20
22505.22364,2.05128222777494e-20
22507.1003736402,2.02447828275186e-20
22508.9771072803,1.96183787621869e-20
22510.8538409205,1.89785539865199e-20
22512.7305745607,1.85480087233354e-20
22514.6073082009,1.83388864960798e-20
22516.4840418411,1.82622188787829e-20
22518.3607754812,1.82396181351371e-20
22520.2375091214,1.82330069978043e-20
22522.1142427616,1.8229917274936e-20
22523.9909764018,1.82274141448264e-20
22794.045,1.78854805366355e-20
22948.909,1.76777776870049e-20
23277.995,1.72547125498155e-20
23761.945,1.67568311742452e-20
24245.895,1.62559293894066e-20
24313.648,1.61747503425907e-20
24633.055,1.57729436620775e-20
25117.005,1.53328023793572e-20
25600.955,1.493207274545e-20
25755.819,1.47756612489392e-20
26084.905,1.44371973288949e-20
26568.855,1.39414496571543e-20
27052.805,1.3460474181187e-20
27058.0009539767,1.34575362216166e-20
27060.259231579,1.34563057060138e-20
27062.5175091813,1.34554034390983e-20
27064.7757867837,1.34564724907648e-20
27067.034064386,1.3466493899222e-20
27069.2923419883,1.3506789768705e-20
27071.5506195907,1.36212610138717e-20
27073.808897193,1.38597474191932e-20
27076.0671747953,1.42154770160044e-20
27078.3254523977,1.45637452668076e-20
27080.58373,1.47113361566319e-20
27082.8420076023,1.45612778995685e-20
27085.1002852047,1.42104913945125e-20
27087.358562807,1.38521910211108e-20
27089.6168404093,1.36111159974511e-20
27091.8751180117,1.34940663637067e-20
27094.133395614,1.34512076519578e-20
27096.3916732163,1.34386327760258e-20
27098.6499508187,1.34350138252839e-20
27100.908228421,1.34333671423281e-20
27103.1665060233,1.34320488913666e-20
27275.422,1.33356713898095e-20
27536.755,1.31856195576755e-20
28020.705,1.28130280186591e-20
28891.815,1.21707013286027e-20
28940.21,1.21362551775856e-20
29908.11,1.14193300277286e-20
30604.998,1.09270276995732e-20
30876.01,1.07441034066024e-20
31843.91,1.01967486837359e-20
32182.675,1.00342700190975e-20
32231.07,9.98685907974181e-21
32279.465,9.89855577200125e-21
32327.86,9.79997158135477e-21
32376.255,9.95432676067445e-21
32424.65,9.69866937720989e-21
32473.045,9.74668857450587e-21
32521.44,9.74245451793379e-21
32569.835,9.69106838538619e-21
32618.23,9.66297193209649e-21
32666.625,9.69618018688049e-21
32715.02,9.62231722073827e-21
32763.415,9.70646606855336e-21
32811.81,9.6775704111114e-21
32860.205,9.71091743049826e-21
32908.6,9.53780603071321e-21
32956.995,9.51920517811885e-21
33005.39,9.54068402356869e-21
33053.785,9.58133915538184e-21
33102.18,9.59046981658169e-21
33150.575,9.5326021101945e-21
33198.97,9.53383860935443e-21
33247.365,9.5384803597251e-21
33295.76,9.4747251535069e-21
33344.155,9.43688775930772e-21
33392.55,9.43618813521944e-21
33440.945,9.32515233761443e-21
33489.34,9.29493098759244e-21
33537.735,9.32074469923232e-21
33586.13,9.32532297498608e-21
33634.525,9.28237441614904e-21
33682.92,9.18697421778883e-21
33731.315,9.20331994335558e-21
33779.71,9.26160176913742e-21
