wave,flux
880.789,0
987.258,0
1103.406,0
1238.912,0
1355.06,0
1538.961,0
1713.183,0
1877.726,0
2090.664,0
2264.886,0
2516.54,0
2748.836,0
3077.922,0
3542.514,0
4007.106,0
4452.34,0
4897.574,0
5323.45,0
5807.4,0
6291.35,0
6726.905,0
7210.855,0
7694.80500000001,0
8178.755,0
8662.705,0
9146.655,1.03186780150614e-24
9630.605,1.50507602406634e-24
10114.555,1.90418034036292e-24
10598.505,1.83594834723616e-24
11082.455,1.63256454855128e-24
11566.405,1.34766744382981e-24
11756.6577502603,1.40704459529657e-24
11757.6389682343,1.41856256785173e-24
11758.6201862082,1.50999080140373e-24
11759.6014041822,2.08163573505513e-24
11760.5826221562,4.83444342364717e-24
11761.5638401302,1.49640539120157e-23
11762.5450581041,4.31691873537212e-23
11763.5262760781,1.01598461429498e-22
11764.5074940521,1.8860722781025e-22
11765.488712026,2.73808398505188e-22
11766.46993,3.10108892025803e-22
11767.451147974,1.14440668644274e-17
11768.4323659479,7.88458854135731e-18
11769.4135839219,4.24811917597311e-18
11770.3948018959,1.80542250422596e-18
11771.3760198699,6.26002575723487e-19
11772.3572378438,2.02345670179604e-19
11773.3384558178,8.72072753826286e-20
11774.3196737918,6.33133003965977e-20
11775.3008917657,5.95127506952446e-20
11776.2821097397,5.9056567257188e-20
12050.355,6.27424359205596e-20
12534.305,5.76378364978757e-20
13018.255,5.89253477227715e-20
13502.205,4.83188305775336e-20
13957.118,5.16119264461624e-20
14373.315,4.76432638564532e-20
14760.475,4.35530123805593e-20
15244.425,4.0685143657141e-20
15728.375,3.83311449623972e-20
16183.288,3.6758522014401e-20
16599.485,3.4997681889482e-20
17083.435,3.34396077789303e-20
17567.385,3.20217601168297e-20
18051.335,2.98091793754886e-20
18535.285,2.77170130072331e-20
19038.593,2.73726973911214e-20
19503.185,2.60253459106639e-20
19987.135,2.41684795837711e-20
20374.295,2.40640361646932e-20
20858.245,2.33220208125485e-20
21342.195,2.21186768314404e-20
21826.145,2.06685331089056e-20
22310.095,1.98911905860105e-20
22486.4563035982,1.94796938896546e-20
22488.3330372384,1.94765349792911e-20
22490.2097708786,1.94816300143244e-20
22492.0865045188,1.9536318268034e-20
22493.9632381589,1.98162469259774e-20
22495.8399717991,2.08579132651471e-20
22497.7167054393,2.3765985552993e-20
22499.5934390795,2.9794683421256e-20
22501.4701727196,3.87738541043389e-20
22503.3469063598,4.75657442518554e-20
22505.22364,5.13082412125123e-20
22507.1003736402,4.75606754474184e-20
22508.9771072803,3.87615028403291e-20
22510.8538409205,2.97727649077734e-20
22512.7305745607,2.37337236605738e-20
22514.6073082009,2.08157530200617e-20
22516.4840418411,1.97648646363848e-20
22518.3607754812,1.94761217761338e-20
22520.2375091214,1.94127745799966e-20
22522.1142427616,1.93990619277938e-20
22523.9909764018,1.93936112327857e-20
22794.045,1.87892115244053e-20
23277.995,1.76352669058014e-20
23761.945,1.71408056862003e-20
24245.895,1.6490273622375e-20
24633.055,1.55113016416184e-20
25117.005,1.5276343372603e-20
25600.955,1.49699603411024e-20
26084.905,1.41598908849145e-20
26568.855,1.33227611177702e-20
27052.805,1.2493906389659e-20
27058.0009539767,1.24944310015428e-20
27060.259231579,1.24950294679023e-20
27062.5175091813,1.24982692435643e-20
27064.7757867837,1.25173812050373e-20
27067.034064386,1.26085817252887e-20
27069.2923419883,1.29435764024086e-20
27071.5506195907,1.38759086907755e-20
27073.808897193,1.58069747731743e-20
27076.0671747953,1.86822951828163e-20
27078.3254523977,2.14976334300824e-20
27080.58373,2.26969194779538e-20
27082.8420076023,2.14990840438954e-20
27085.1002852047,1.86845740356551e-20
27087.358562807,1.58094394908067e-20
27089.6168404093,1.38783410631786e-20
27091.8751180117,1.29461015510533e-20
27094.133395614,1.2611389797456e-20
27096.3916732163,1.25205868683707e-20
27098.6499508187,1.2501916151797e-20
27100.908228421,1.24991292420288e-20
27103.1665060233,1.24989858966748e-20
27536.755,1.25422046558598e-20
28020.705,1.2181409090315e-20
28940.21,1.1387343604324e-20
29908.11,1.06033344719621e-20
30876.01,9.76156165539778e-21
31843.91,9.23265718488201e-21
32182.675,9.13203608654356e-21
32231.07,9.11190690084046e-21
32279.465,8.83585799214617e-21
32327.86,8.66059034811105e-21
32376.255,9.02734263443104e-21
32424.65,8.64195625829231e-21
32473.045,8.53054515787458e-21
32521.44,8.64506720819469e-21
32569.835,8.58739301645883e-21
32618.23,8.53088447677724e-21
32666.625,8.56394233022683e-21
32715.02,8.47241826168329e-21
32763.415,8.79821597757053e-21
32811.81,8.72220541278585e-21
32860.205,8.82245290403641e-21
32908.6,8.4034726591765e-21
32956.995,8.40213450748864e-21
33005.39,8.47143487434766e-21
33053.785,8.58030520055446e-21
33102.18,8.67314448559161e-21
33150.575,8.58380002189038e-21
33198.97,8.61433489178472e-21
33247.365,8.59763487071127e-21
33295.76,8.41416857766143e-21
33344.155,8.36706583326422e-21
33392.55,8.50811664133508e-21
33440.945,8.14033799078412e-21
33489.34,8.11616500987804e-21
33537.735,8.2170571383064e-21
33586.13,8.26010616731987e-21
33634.525,8.11253417301549e-21
33682.92,8.03895479076355e-21
33731.315,8.12606382519992e-21
33779.71,8.1974543813936e-21
33828.105,8.1546076403512e-21
33876.5,8.0133183408858e-21
33924.895,7.92559779010524e-21
33973.29,8.00211974468899e-21
34021.685,7.93488035636367e-21
34070.08,8.06076903204465e-21
34118.475,8.0387145712368e-21
34166.87,8.07409416698986e-21
34215.265,8.08134094286323e-21
34263.66,8.09222151328818e-21
34312.055,8.14939648281163e-21
34360.45,8.1478370627316e-21
34408.845,8.03649766224881e-21
34457.24,8.06015962064826e-21
34505.635,7.95816021436662e-21
34554.03,7.89694005410806e-21
34602.425,7.62007552136058e-21
34650.82,7.5954438119832e-21
34699.215,7.52848436410905e-21
34747.61,7.57807845135765e-21
34796.005,7.62098001529182e-21
34844.4,7.7333608551188e-21
34892.795,7.66802889050991e-21
34941.19,7.70039324628111e-21
34989.585,7.68097927694539e-21
35037.98,7.79984933856997e-21
35086.375,7.92072021574228e-21
35134.77,7.8702857802533e-21
35183.165,7.88043575531873e-21
35231.56,7.78744735391963e-21
35279.955,7.70635625570596e-21
35328.35,7.69426290771123e-21
35376.745,7.73384440664039e-21
35425.14,7.70359368226781e-21
35473.535,7.66647547304362e-21
35521.93,7.68136316690103e-21
35570.325,7.5688654985576e-21
35618.72,7.52769285531196e-21
35667.115,7.52706124367972e-21
35715.51,7.74611593872151e-21
35763.905,7.73990963630202e-21
35812.3,8.04932398388519e-21
35860.695,7.01600414288174e-21
35909.09,7.45987634485522e-21
35957.485,8.02129658656655e-21
36005.88,7.44709887251511e-21
36034.1700273943,7.83770425985663e-21
36037.1774616549,7.88481901825368e-21
36040.1848959155,7.96369411844221e-21
36043.192330176,8.23227413367204e-21
36046.1997644366,9.36163385869967e-21
36049.2071986972,1.34014523740684e-20
36052.2146329577,2.45719605746318e-20
36054.275,3.81314344733003e-20
36055.2220672183,4.76633472007531e-20
36058.2295014789,8.20237055268453e-20
36060.2815345679,1.06206172796101e-19
36061.2369357394,1.15668709734565e-19
36063.2911481111,1.28492666887446e-19
36064.24437,1.30033553443431e-19
36066.3007616543,1.23195298259062e-19
36067.2518042606,1.15861925405701e-19
36069.3103751975,9.40975247847526e-20
36070.2592385211,8.28173456869189e-20
36072.3199887407,5.96408929128704e-20
36073.2666727817,5.0806261656402e-20
36075.3296022839,3.79073836196675e-20
36076.2741070423,3.54473361555882e-20
36078.3392158272,3.84741585886433e-20
36079.2815413029,4.38099811661039e-20
36081.3488293704,6.38846351356608e-20
36082.2889755634,7.63573622673799e-20
36084.3584429136,1.08481767855043e-19
36085.296409824,1.23681371377445e-19
36087.3680564568,1.53416313628261e-19
36088.3038440846,1.63219243259097e-19
36090.37767,1.72675088825569e-19
36091.3112783451,1.70724626717052e-19
36093.3872835432,1.53441450072028e-19
36094.3187126057,1.41083091980972e-19
36096.3968970864,1.08218131755797e-19
36099.4065106296,6.2021857848471e-20
36102.4161241729,3.10077482791187e-20
36102.67,2.90012283914932e-20
36105.4257377161,1.58686013394914e-20
36108.4353512593,1.03238605624399e-20
36111.4449648025,8.70430411232984e-21
36114.4545783457,8.2475481388776e-21
36117.4641918889,8.04902511838357e-21
36120.4738054321,7.89577316484593e-21
36151.065,6.54375244480865e-21
36199.46,9.23401353097391e-21
36247.855,9.00913357580275e-21
36267.4328248116,7.83560940641857e-21
36270.4597273304,7.66855618619855e-21
36273.4866298493,7.50614830576869e-21
36276.5135323681,7.3536315790242e-21
36279.540434887,7.23354654795179e-21
36282.5673374058,7.21489587797756e-21
36285.5942399246,7.43983378377686e-21
36288.6211424435,8.06976100841743e-21
36291.6480449623,9.08267963906476e-21
36294.6749474812,1.00745216831751e-20
36296.25,1.02460021037006e-20
36297.70185,1.05479314486809e-20
36300.7287525188,1.0199410930312e-20
36303.7556550377,9.20331133682997e-21
36306.7825575565,8.18565830697262e-21
36309.8094600754,7.55064897866311e-21
36312.8363625942,7.32038361193587e-21
