wave,flux
880.789,1.11327076530155e-24
987.258,1.64187441676833e-24
1103.406,2.29611404636857e-24
1238.912,3.43491008201201e-24
1355.06,5.53722207843419e-24
1538.961,1.53218510481467e-23
1713.183,4.13716065173453e-23
1877.726,9.34933005181292e-23
2090.664,2.20257023908074e-22
2264.886,1.12317314358559e-20
2516.54,2.66885563891301e-20
2748.836,3.52013763521529e-20
3077.922,3.45368675177552e-20
3542.514,3.41837330971894e-20
4007.106,3.22301411435592e-20
4452.34,2.95671852962232e-20
4897.574,2.98599982054426e-20
5323.45,3.18390046573399e-20
5807.4,3.01793285866228e-20
6291.35,2.80293083414146e-20
6726.905,2.61355658075886e-20
7210.855,2.40253537139787e-20
7694.80500000001,2.20423811695936e-20
8178.755,2.04490545667318e-20
8662.705,1.89521069085965e-20
9146.655,6.85284951741872e-20
9630.605,8.92505391393791e-20
10114.555,8.78911726124067e-20
10598.505,8.06872647217416e-20
11082.455,7.08011904473884e-20
11566.405,6.07631029422547e-20
11756.6577502603,5.91889510408488e-20
11757.6389682343,5.91808986444949e-20
11758.6201862082,5.91728469201149e-20
11759.6014041822,5.91647958675964e-20
11760.5826221562,5.91567454868279e-20
11761.5638401302,5.91486957776967e-20
11762.5450581041,5.9140646740091e-20
11763.5262760781,5.91325983738988e-20
11764.5074940521,5.9124550679008e-20
11765.488712026,5.91165036553067e-20
11766.46993,5.9108457302683e-20
11767.451147974,5.91004116210248e-20
11768.4323659479,5.90923666102204e-20
11769.4135839219,5.90843222701578e-20
11770.3948018959,5.90762786007253e-20
11771.3760198699,5.90682356018109e-20
11772.3572378438,5.9060193273303e-20
11773.3384558178,5.90521516150898e-20
11774.3196737918,5.90441106270595e-20
11775.3008917657,5.90360703091005e-20
11776.2821097397,5.90280306611011e-20
12050.355,5.68082292289999e-20
12534.305,5.20150001272497e-20
13018.255,4.83353123804046e-20
13502.205,4.24406716352831e-20
13957.118,4.03835527617304e-20
14373.315,3.72906542049619e-20
14760.475,3.44955306349655e-20
15244.425,3.14991052223485e-20
15728.375,2.87612782809464e-20
16183.288,2.65915818308494e-20
16599.485,2.48821112189214e-20
17083.435,2.29919326317458e-20
17567.385,2.15287205376884e-20
18051.335,1.97523769184483e-20
18535.285,1.82531061194399e-20
19038.593,1.71577585486314e-20
19503.185,1.60569366283976e-20
19987.135,1.42483132832363e-20
20374.295,1.42926128861232e-20
20858.245,1.34738713383955e-20
21342.195,1.26149316427994e-20
21826.145,1.17474711819335e-20
22310.095,1.10594587638872e-20
22486.4563035982,1.08312399008611e-20
22488.3330372384,1.08288209665472e-20
22490.2097708786,1.08264022340938e-20
22492.0865045188,1.08239837034672e-20
22493.9632381589,1.08215653746337e-20
22495.8399717991,1.08191472475597e-20
22497.7167054393,1.08167293222115e-20
22499.5934390795,1.08143115985554e-20
22501.4701727196,1.08118940765578e-20
22503.3469063598,1.0809476756185e-20
22505.22364,1.08070596374035e-20
22507.1003736402,1.08046427201796e-20
22508.9771072803,1.08022260044797e-20
22510.8538409205,1.07998094902702e-20
22512.7305745607,1.07973931775174e-20
22514.6073082009,1.07949770661879e-20
22516.4840418411,1.0792561156248e-20
22518.3607754812,1.07901454476642e-20
22520.2375091214,1.07877299404029e-20
22522.1142427616,1.07853146344305e-20
22523.9909764018,1.07828995297135e-20
22794.045,1.04374574120592e-20
23277.995,9.78574893760213e-21
