wave,flux
880.789,2.27238297592588e-21
987.258,4.08847242661062e-21
1103.406,4.36531871364139e-21
1238.912,4.90651944763574e-21
1355.06,5.0550387922291e-21
1538.961,5.81948941057639e-21
1713.183,5.96491588902781e-21
1877.726,6.07873945899228e-21
2090.664,6.19858597860921e-21
2264.886,1.67509182801178e-20
2516.54,5.0975072026853e-20
2748.836,6.49413636607585e-20
3077.922,6.50508702851116e-20
3542.514,6.90089050585416e-20
4007.106,6.65769580861325e-20
4452.34,5.87687290779367e-20
4897.574,5.70334445032901e-20
5323.45,6.09988303669314e-20
5807.4,6.0401869991367e-20
6291.35,6.09770286691864e-20
6726.905,5.85896679334986e-20
7210.855,5.48262702792616e-20
7694.80500000001,5.07444961768758e-20
8178.755,4.77490831676433e-20
8662.705,4.51648423102621e-20
9146.655,1.86622430761739e-19
9630.605,2.10549149419669e-19
10114.555,2.44780405765195e-19
10598.505,2.22707524661229e-19
11082.455,1.93436735384547e-19
11566.405,1.59093553160482e-19
11756.6577502603,1.60819238293146e-19
11757.6389682343,1.60828065840638e-19
11758.6201862082,1.60836892651471e-19
11759.6014041822,1.60845718725765e-19
11760.5826221562,1.60854544063646e-19
11761.5638401302,1.60863368665234e-19
11762.5450581041,1.60872192530654e-19
11763.5262760781,1.60881015660028e-19
11764.5074940521,1.60889838053479e-19
11765.488712026,1.60898659711129e-19
11766.46993,1.60907480633101e-19
11767.451147974,1.60916300819518e-19
11768.4323659479,1.60925120270503e-19
11769.4135839219,1.60933938986179e-19
11770.3948018959,1.60942756966667e-19
11771.3760198699,1.6095157421209e-19
11772.3572378438,1.60960390722572e-19
11773.3384558178,1.60969206498233e-19
11774.3196737918,1.60978021539198e-19
11775.3008917657,1.60986835845589e-19
11776.2821097397,1.60995649417527e-19
12050.355,1.63429136506938e-19
12534.305,1.47699604909272e-19
13018.255,1.44648465177828e-19
13502.205,1.13967154986286e-19
13957.118,1.20350499371823e-19
14373.315,1.09920668012906e-19
14760.475,9.92721936984715e-20
15244.425,9.03697220919696e-20
15728.375,8.33106837066467e-20
16183.288,7.83051227019348e-20
16599.485,7.40544639416545e-20
17083.435,6.98209774598708e-20
17567.385,6.5576445985541e-20
18051.335,6.03667563817661e-20
18535.285,5.53976984662641e-20
19038.593,5.36192179861109e-20
19503.185,5.0418849922733e-20
19987.135,4.55750427634314e-20
20374.295,4.55013915923157e-20
20858.245,4.35784392754844e-20
21342.195,4.0903974145362e-20
21826.145,3.78100501744045e-20
22310.095,3.59219788536363e-20
22486.4563035982,3.51057345778137e-20
22488.3330372384,3.50970830524265e-20
22490.2097708786,3.50884322490105e-20
22492.0865045188,3.50797821674455e-20
22493.9632381589,3.50711328076108e-20
22495.8399717991,3.5062484169386e-20
22497.7167054393,3.50538362526508e-20
22499.5934390795,3.50451890572848e-20
22501.4701727196,3.50365425831676e-20
22503.3469063598,3.50278968301789e-20
22505.22364,3.50192517981985e-20
22507.1003736402,3.50106074871061e-20
22508.9771072803,3.50019638967815e-20
22510.8538409205,3.49933210271045e-20
22512.7305745607,3.49846788779549e-20
22514.6073082009,3.49760374492127e-20
22516.4840418411,3.49673967407578e-20
22518.3607754812,3.495875675247e-20
22520.2375091214,3.49501174842293e-20
22522.1142427616,3.49414789359157e-20
22523.9909764018,3.49328411074093e-20
22794.045,3.36973378390791e-20
23277.995,3.13638613393014e-20
23761.945,3.01150198404641e-20
24245.895,2.86440803705031e-20
24633.055,2.68692574383244e-20
25117.005,2.61091249698415e-20
25600.955,2.53086561884831e-20
26084.905,2.37569626802022e-20
26568.855,2.22431979329008e-20
27052.805,2.0738750021787e-20
27058.0009539767,2.0736901977196e-20
27060.259231579,2.07360988863923e-20
27062.5175091813,2.07352958626066e-20
27064.7757867837,2.07344929058279e-20
27067.034064386,2.07336900160449e-20
27069.2923419883,2.07328871932464e-20
